key	-6.71
key	-7.98
key	-9.26
key	-7.43
key	-7.58
key	-7.53
key	-7.68
key	-7.11
key	-7.04
key	-7.96
key	-7.12
key	-7.82
key	-7.54
key	-8.25
key	-8.28
key	-7.9
key	-6.98
key	-7.05
key	-7.99
key	-5.75
key	-7.25
key	-6.35
key	-7.9
key	-7.28
key	-7.96
key	-5.68
key	-6.35
key	-7.39
key	-6.22
key	-8.32
key	-7.46
key	-6.8
key	-8.11
key	-7.59
key	-7.32
key	-7.1
key	-6.02
key	-6.66
key	-7.41
key	-7.74
key	-7.0
key	-6.96
key	-7.13
key	-6.57
key	-7.1
key	-7.37
key	-8.18
key	-8.17
key	-6.73
key	-6.75
key	-8.07
key	-7.92
key	-5.87
key	-6.21
key	-7.18
key	-7.68
key	-7.91
key	-8.54
key	-6.68
key	-6.09
key	-7.22
key	-6.19
key	-8.57
key	-6.86
key	-8.23
key	-7.32
key	-7.2
key	-7.56
key	-7.16
key	-8.28
key	-7.56
key	-7.16
key	-8.63
key	-6.04
key	-6.43
key	-5.94
key	-6.95
key	-7.66
key	-8.03
key	-6.53
key	-6.52
key	-8.12
key	-7.56
key	-6.53
key	-5.98
key	-6.0
key	-7.19
key	-6.47
key	-5.44
key	-6.86
key	-8.59
key	-6.81
key	-6.76
key	-7.54
key	-7.07
key	-7.31
key	-6.73
key	-8.78
key	-7.22
key	-7.86
key	-8.54
key	-6.46
key	-8.29
key	-7.7
key	-7.87
key	-7.4
key	-7.85
key	-8.69
key	-9.2
key	-6.94
key	-7.29
key	-6.68
key	-5.35
key	-5.96
key	-7.43
key	-6.52
key	-7.33
key	-8.03
key	-5.83
key	-7.04
